[2026-04-10 23:12:07] [WARNING] VLC not found in common paths; hoping it is on PATH
[2026-04-10 23:12:07] [INFO   ] VLC player ready (python-vlc / libvlc)
[2026-04-10 23:15:57] [DEBUG  ] VLC: buffering…
[2026-04-10 23:15:57] [DEBUG  ] VLC: buffering…
[2026-04-10 23:15:57] [DEBUG  ] VLC: buffering…
[2026-04-10 23:15:57] [DEBUG  ] VLC: buffering…
[2026-04-10 23:15:57] [DEBUG  ] VLC: buffering…
[2026-04-10 23:15:57] [DEBUG  ] VLC: buffering…
[2026-04-10 23:15:57] [DEBUG  ] VLC: buffering…
[2026-04-10 23:15:57] [DEBUG  ] VLC: buffering…
[2026-04-10 23:15:57] [DEBUG  ] VLC: buffering…
[2026-04-10 23:15:57] [DEBUG  ] VLC: buffering…
[2026-04-10 23:15:57] [DEBUG  ] VLC: buffering…
[2026-04-10 23:15:57] [DEBUG  ] VLC: buffering…
[2026-04-10 23:15:57] [DEBUG  ] VLC: buffering…
[2026-04-10 23:15:57] [DEBUG  ] VLC: buffering…
[2026-04-10 23:15:57] [DEBUG  ] VLC: buffering…
[2026-04-10 23:15:57] [DEBUG  ] VLC: buffering…
[2026-04-10 23:15:57] [DEBUG  ] VLC: buffering…
[2026-04-10 23:15:57] [DEBUG  ] VLC: buffering…
[2026-04-10 23:15:57] [DEBUG  ] VLC: buffering…
[2026-04-10 23:15:57] [DEBUG  ] VLC: buffering…
[2026-04-10 23:15:57] [DEBUG  ] VLC: buffering…
[2026-04-10 23:15:57] [DEBUG  ] VLC: buffering…
[2026-04-10 23:15:57] [DEBUG  ] VLC: buffering…
[2026-04-10 23:15:57] [DEBUG  ] VLC: buffering…
[2026-04-10 23:15:57] [DEBUG  ] VLC: buffering…
[2026-04-10 23:15:57] [DEBUG  ] VLC: buffering…
[2026-04-10 23:15:57] [DEBUG  ] VLC: buffering…
[2026-04-10 23:15:57] [DEBUG  ] VLC: buffering…
[2026-04-10 23:15:57] [DEBUG  ] VLC: buffering…
[2026-04-10 23:15:57] [DEBUG  ] VLC: buffering…
[2026-04-10 23:15:57] [DEBUG  ] VLC: buffering…
[2026-04-10 23:15:57] [DEBUG  ] VLC: buffering…
[2026-04-10 23:15:57] [DEBUG  ] VLC: buffering…
[2026-04-10 23:15:57] [DEBUG  ] VLC: buffering…
[2026-04-10 23:15:57] [DEBUG  ] VLC: buffering…
[2026-04-10 23:15:57] [DEBUG  ] VLC: buffering…
[2026-04-10 23:15:57] [DEBUG  ] VLC: buffering…
[2026-04-10 23:15:57] [DEBUG  ] VLC: buffering…
[2026-04-10 23:15:57] [DEBUG  ] VLC: buffering…
[2026-04-10 23:15:57] [DEBUG  ] VLC: buffering…
[2026-04-10 23:15:57] [DEBUG  ] VLC: buffering…
[2026-04-10 23:15:57] [DEBUG  ] VLC: buffering…
[2026-04-10 23:15:57] [DEBUG  ] VLC: buffering…
[2026-04-10 23:15:57] [DEBUG  ] VLC: buffering…
[2026-04-10 23:15:57] [DEBUG  ] VLC: buffering…
[2026-04-10 23:15:57] [DEBUG  ] VLC: buffering…
[2026-04-10 23:15:57] [DEBUG  ] VLC: buffering…
[2026-04-10 23:15:57] [DEBUG  ] VLC: buffering…
[2026-04-10 23:15:57] [DEBUG  ] VLC: buffering…
[2026-04-10 23:15:57] [DEBUG  ] VLC: buffering…
[2026-04-10 23:15:57] [DEBUG  ] VLC: buffering…
[2026-04-10 23:15:57] [DEBUG  ] VLC: buffering…
[2026-04-10 23:15:57] [DEBUG  ] VLC: buffering…
[2026-04-10 23:15:57] [DEBUG  ] VLC: buffering…
[2026-04-10 23:15:57] [DEBUG  ] VLC: buffering…
[2026-04-10 23:15:57] [DEBUG  ] VLC: buffering…
[2026-04-10 23:15:57] [DEBUG  ] VLC: buffering…
[2026-04-10 23:15:57] [DEBUG  ] VLC: buffering…
[2026-04-10 23:15:57] [DEBUG  ] VLC: buffering…
[2026-04-10 23:15:57] [DEBUG  ] VLC: buffering…
[2026-04-10 23:15:57] [DEBUG  ] VLC: buffering…
[2026-04-10 23:15:57] [DEBUG  ] VLC: buffering…
[2026-04-10 23:15:57] [DEBUG  ] VLC: buffering…
[2026-04-10 23:15:57] [DEBUG  ] VLC: buffering…
[2026-04-10 23:15:57] [DEBUG  ] VLC: buffering…
[2026-04-10 23:15:57] [DEBUG  ] VLC: buffering…
[2026-04-10 23:15:57] [DEBUG  ] VLC: buffering…
[2026-04-10 23:15:57] [DEBUG  ] VLC: buffering…
[2026-04-10 23:15:57] [DEBUG  ] VLC: buffering…
[2026-04-10 23:15:57] [DEBUG  ] VLC: buffering…
[2026-04-10 23:15:57] [DEBUG  ] VLC: buffering…
[2026-04-10 23:15:57] [DEBUG  ] VLC: buffering…
[2026-04-10 23:15:57] [DEBUG  ] VLC: buffering…
[2026-04-10 23:15:57] [DEBUG  ] VLC: buffering…
[2026-04-10 23:15:57] [DEBUG  ] VLC: buffering…
[2026-04-10 23:15:57] [DEBUG  ] VLC: buffering…
[2026-04-10 23:15:57] [DEBUG  ] VLC: buffering…
[2026-04-10 23:15:57] [DEBUG  ] VLC: buffering…
[2026-04-10 23:15:57] [DEBUG  ] VLC: buffering…
[2026-04-10 23:15:57] [DEBUG  ] VLC: buffering…
[2026-04-10 23:15:57] [DEBUG  ] VLC: buffering…
[2026-04-10 23:15:57] [DEBUG  ] VLC: buffering…
[2026-04-10 23:15:57] [DEBUG  ] VLC: buffering…
[2026-04-10 23:15:57] [DEBUG  ] VLC: buffering…
[2026-04-10 23:15:57] [DEBUG  ] VLC: buffering…
[2026-04-10 23:15:57] [DEBUG  ] VLC: buffering…
[2026-04-10 23:15:57] [DEBUG  ] VLC: buffering…
[2026-04-10 23:15:57] [DEBUG  ] VLC: buffering…
[2026-04-10 23:15:57] [DEBUG  ] VLC: buffering…
[2026-04-10 23:15:57] [DEBUG  ] VLC: buffering…
[2026-04-10 23:15:57] [DEBUG  ] VLC: buffering…
[2026-04-10 23:15:57] [DEBUG  ] VLC: buffering…
[2026-04-10 23:15:57] [DEBUG  ] VLC: buffering…
[2026-04-10 23:15:57] [DEBUG  ] VLC: buffering…
[2026-04-10 23:15:57] [DEBUG  ] VLC: buffering…
[2026-04-10 23:15:57] [DEBUG  ] VLC: buffering…
[2026-04-10 23:15:57] [DEBUG  ] VLC: buffering…
[2026-04-10 23:15:58] [DEBUG  ] VLC: buffering…
[2026-04-10 23:15:58] [DEBUG  ] VLC: buffering…
[2026-04-10 23:15:58] [DEBUG  ] VLC: buffering…
[2026-04-10 23:15:58] [DEBUG  ] VLC: buffering…
[2026-04-10 23:16:01] [INFO   ] Playing: https://stream.zeno.fm/68snnbug8rhvv
[2026-04-10 23:16:01] [DEBUG  ] VLC: buffering…
[2026-04-10 23:16:01] [INFO   ] PLAY: kannadahits — https://stream.zeno.fm/68snnbug8rhvv
[2026-04-10 23:16:04] [DEBUG  ] VLC: now playing
[2026-04-10 23:16:04] [DEBUG  ] VLC: buffering…
[2026-04-10 23:16:04] [DEBUG  ] VLC: buffering…
[2026-04-10 23:16:04] [DEBUG  ] VLC: buffering…
[2026-04-10 23:16:04] [DEBUG  ] VLC: buffering…
[2026-04-10 23:16:04] [DEBUG  ] VLC: buffering…
[2026-04-10 23:16:04] [DEBUG  ] VLC: buffering…
[2026-04-10 23:16:04] [DEBUG  ] VLC: buffering…
[2026-04-10 23:16:04] [DEBUG  ] VLC: buffering…
[2026-04-10 23:16:04] [DEBUG  ] VLC: buffering…
[2026-04-10 23:16:04] [DEBUG  ] VLC: buffering…
[2026-04-10 23:16:04] [DEBUG  ] VLC: buffering…
[2026-04-10 23:16:04] [DEBUG  ] VLC: buffering…
[2026-04-10 23:16:04] [DEBUG  ] VLC: buffering…
[2026-04-10 23:16:04] [DEBUG  ] VLC: buffering…
[2026-04-10 23:16:04] [DEBUG  ] VLC: buffering…
[2026-04-10 23:16:04] [DEBUG  ] VLC: buffering…
[2026-04-10 23:16:04] [DEBUG  ] VLC: buffering…
[2026-04-10 23:16:04] [DEBUG  ] VLC: buffering…
[2026-04-10 23:16:04] [DEBUG  ] VLC: buffering…
[2026-04-10 23:16:04] [DEBUG  ] VLC: buffering…
[2026-04-10 23:16:04] [DEBUG  ] VLC: buffering…
[2026-04-10 23:16:04] [DEBUG  ] VLC: buffering…
[2026-04-10 23:16:04] [DEBUG  ] VLC: buffering…
[2026-04-10 23:16:04] [DEBUG  ] VLC: buffering…
[2026-04-10 23:16:04] [DEBUG  ] VLC: buffering…
[2026-04-10 23:16:04] [DEBUG  ] VLC: buffering…
[2026-04-10 23:16:04] [DEBUG  ] VLC: buffering…
[2026-04-10 23:16:04] [DEBUG  ] VLC: buffering…
[2026-04-10 23:16:04] [DEBUG  ] VLC: buffering…
[2026-04-10 23:16:04] [DEBUG  ] VLC: buffering…
[2026-04-10 23:16:04] [DEBUG  ] VLC: buffering…
[2026-04-10 23:16:04] [DEBUG  ] VLC: buffering…
[2026-04-10 23:16:04] [DEBUG  ] VLC: buffering…
[2026-04-10 23:16:04] [DEBUG  ] VLC: buffering…
